0,1,2,3,4,5,6
2021-08-07 17:59:04+00:00,1424067585004482567,"For a long time, sales of my product have happened randomly.

It felt nice to get customers, but didn't feel like real growth.

Last month was different though, as sales came from my twitter growth strategy.

It's not random sales, it's sales I've earned.

That's real growth 🔥🚀",34,0,4,0
2021-08-07 14:57:11+00:00,1424021811218501640,"The more vulnerable you are on social media, the more people will want to connect with you.

In the end, what makes your startup successful is not how great your product is. It’s how many people you connect with.

Be vulnerable.",63,5,3,0
2021-08-07 13:29:10+00:00,1423999661828943872,"In July 2018, I left a high-paid software job to build a startup.

3 months later, my mother unexpectedly passed away.

It left me depressed and out of cash.

But as I was about to quit, I got surprise insurance money from her.

I can't give up with an Angel Investor like that ❤️",475,14,21,8
2021-08-06 18:05:13+00:00,1423706745566793732,"The hard thing about creating a startup is that I always doubt if it can be successful.

So when it gets difficult, I fantasize about a new idea that seems more promising.

In reality, every idea gets difficult. The only way to succeed is to be persistent.

Keep going 💪",30,1,5,0
2021-08-06 16:35:06+00:00,1423684065778192394,https://t.co/Ruz58VQNW6,35,5,10,0
2021-08-06 14:58:14+00:00,1423659687334060038,"Our startup doesn't pay us a salary yet, but seeing happy customers keeps us going 💪

It means we solve a real problem and make their lives better.

Last one we've got for https://t.co/QMJQuwVcPD gave us fuel for months!

https://t.co/FAOh6eRVJ3",11,0,1,0
2021-08-06 13:32:04+00:00,1423638004179079175,"I was running my startup for 2 years, still not growing.

So I worked on a pivot idea.

Then I realized a new product wasn’t gonna save me. It’s just a lie I tell myself.

The real problem was marketing.

So I pivoted myself, from developer to marketer.

Now we're growing 🚀",536,41,40,12
2021-08-06 07:34:51+00:00,1423548106549907460,Time to support our boy Kyle with the launch of Removaly. No-brainer if you want to keep your data safe online. https://t.co/kmycbC3bCC,4,0,0,0
2021-08-06 07:20:38+00:00,1423544528351399936,"Speaking with @KarthikS2206 last month completely changed my trajectory.

He made me see that my priority should be to reach the next “small goal” of $5k, instead of overthink on how to make millions... https://t.co/fhQHNV633c",11,0,1,1
2021-08-05 17:41:07+00:00,1423338290233712646,"My growth strategy is super simple: I share my startup journey on twitter.

It's not related to my product, but it makes other founders (my target market) curious about my website.

That’s it.

Traffic and sales keep growing along with my twitter 🚀

Don't overcomplicate things. https://t.co/rL1l0JX2vl",27,0,2,1
2021-08-05 15:44:07+00:00,1423308845112246277,https://t.co/qgM1xfdWhL,58,2,6,2
2021-08-05 13:49:12+00:00,1423279925176373261,"I launched my startup last year, 3000 visits but only 4 sales.

Made improvements for 3 months but it stayed low, I was feeling hopeless 😩

Then for no reason people started buying more.

Turns out for our product, most clients take ~3 months to order.

Don't quit to soon 🚀",445,46,18,3
2021-08-04 17:03:07+00:00,1422966338805538819,https://t.co/f11CBATXWl,7,0,3,0
2021-08-03 16:57:07+00:00,1422602440843567110,https://t.co/rVTAD20PqA,32,3,5,1
2021-08-03 13:58:13+00:00,1422557420149223429,"At first I thought I’d spend 30% of my savings to build my startup.

Then I reached it, still no profitability in sight.

So I asked myself: do I want to risk everything on it? I wasn’t sure.

So instead I asked: do I want to take a job again?

HELL NOOO.

100% it is 😂",233,17,23,1
2021-08-02 20:25:18+00:00,1422292443966361603,"Thank you Oliver. It's simple yet deep.

Talk about topics you know well + genuinely try to connect with people = grow your audience 🙏 https://t.co/DLhSrik0Ks",7,0,1,0
